OID_,periode_data,wilayah,kecamatan,kelurahan,nama_halte,lokasi,koordinat_x,koordinat_y
1,2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Harmoni,Jalan Hayam Wuruk,-6.162687000000000,106.819919999999996
2,2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Sawah Besar,Jalan Hayam Wuruk,-6.157368000000000,106.818661000000006
3,2024,Kota Adm. Jakarta Selatan,Tebet,Tebet,Timur St. Manggarai,Jalan Manggarai Utara II,-6.209745000000000,106.850673000000000
4,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Jakarta International Stadium,Jalan Danau Sunter Utara,-6.126689000000000,106.855865100000003
5,2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Mangga Besar,Jalan Gajah Mada,-6.153250000000000,106.817536000000004
6,2024,Kota Adm. Jakarta Timur,Cawang,Kramat Jati,Cawang,Jalan Letnan Jenderal MT Haryono,-6.245863000000000,106.871143000000004
7,2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Taman Sari,Jalan Hayam Wuruk,-6.149300000000000,106.816689999999994
8,2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Glodok,Jalan Hayam Wuruk,-6.143393000000000,106.815135999999995
9,2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Kota,Jalan Gajah Mada,-6.136790000000000,106.814903999999999
10,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Galunggung,Jalan Galunggung,-6.204399000000000,106.823380999999998
11,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Tanah Tinggi,Jalan Tanah Tinggi Barat,-6.171373000000000,106.852188499999997
12,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Danau Sunter,Jalan Danau Sunter Barat,-6.141210000000000,106.856989999999996
13,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Jembatan Item,Jalan Danau Sunter Utara,-6.130980000000000,106.855149999999995
14,2024,Kota Adm. Jakarta Pusat,Kemayoran,Kemayoran,Kemayoran,Jalan Benyamin Sueb,-6.158890000000000,106.851510000000005
15,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Bendungan Hilir,Jalan Jenderal Sudirman,-6.217137000000000,106.815282999999994
16,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Rasuna Said,Jalan Hajjah R. Rasuna Said,-6.221618000000000,106.832245000000000
17,2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Grogol,Jalan Kyai Tapa,-6.166824000000000,106.789704999999998
18,2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Grogol Reformasi,Jalan S Parman,-6.167170000000000,106.788179999999997
19,2024,Kota Adm. Jakarta Utara,Pademangan,Pademangan,Gunung Sahari,Jalan Gunung Sahari Raya,-6.136817000000000,106.832367000000005
20,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Halimun,Jalan Galunggung,-6.205137000000000,106.833382999999998
21,2024,Kota Adm. Jakarta Selatan,Pancoran,Pancoran,Warung Buncit,Jalan Haji Tutty Alawiyah,-6.256977000000000,106.828078000000005
22,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Flyover Cipinang,Jalan Haji Darip,-6.214632000000000,106.882267999999996
23,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Damai,Jalan Daan Mogot,-6.163376000000000,106.775143000000000
24,2024,Kota Adm. Jakarta Pusat,Gambir,Sawah Besar,Istiqlal,Jalan Perwira,-6.172252000000000,106.830932000000004
25,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Transjakarta Tanah Abang 1,Jalan Jatibaru,-6.185496000000000,106.811049999999994
26,2024,Kota Adm. Jakarta Selatan,Pasar Minggu,Pasar Minggu,Jati Padang,Jalan Warung Jati Barat,-6.285431000000000,106.826263999999995
27,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Jatinegara,Jalan Jatinegara Timur,-6.221412000000000,106.868071000000000
28,2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Jelambar,Jalan Daan Mogot,-6.166548000000000,106.786505000000005
29,2024,Kota Adm. Jakarta Barat,Cengkareng,Cengkareng,Jembatan Baru,Jalan Daan Mogot,-6.154831000000000,106.730378000000002
30,2024,Kota Adm. Jakarta Barat,Tambora,Tambora,Jembatan Besi,Jalan Profesor Doktor Latumeten,-6.152005000000000,106.794900999999996
31,2024,Kota Adm. Jakarta Barat,Tambora,Tambora,Jembatan Dua,Jalan Jembatan Dua Flyover,-6.143279000000000,106.793515999999997
32,2024,Kota Adm. Jakarta Barat,Cengkareng,Cengkareng,Jembatan Gantung,Jalan Daan Mogot,-6.155513000000000,106.749464000000003
33,2024,Kota Adm. Jakarta Pusat,Sawah Besar,Sawah Besar,Jembatan Merah,Jalan Gunung Sahari Raya,-6.146731000000000,106.834273999999994
34,2024,Kota Adm. Jakarta Utara,Penjaringan,Penjaringan,Jembatan Tiga,Jalan Jembatan Tiga Raya,-6.133383000000000,106.792665999999997
35,2024,Kota Adm. Jakarta Utara,Pademangan,Pademangan,JIEXPO Kemayoran,Jalan Pesanggrahan Raya,-6.144845000000000,106.848645000000005
36,2024,Kota Adm. Jakarta Selatan,Pesanggrahan,Pesanggrahan,JORR,Jalan Ciledug Raya,-6.236104000000000,106.754880000000000
37,2024,Kota Adm. Jakarta Pusat,Sawah Besar,Sawah Besar,Juanda,Jalan Insinyur Haji Juanda,-6.168048000000000,106.830884999999995
38,2024,Kota Adm. Jakarta Barat,Tambora,Tambora,Kali Besar,Jalan Kali Besar Timur,-6.135355000000000,106.811431999999996
39,2024,Kota Adm. Jakarta Barat,Kalideres,Kalideres,Kalideres,Jalan Madrasah Raya,-6.154412000000000,106.705502999999993
40,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Kampung Melayu,Jalan Jenderal Basuki Rahmat,-6.224673000000000,106.866821000000002
41,2024,Kota Adm. Jakarta Timur,Ciracas,Rambutan,Kampung Rambutan,Jalan Terminal Kampung Rambutan,-6.309885000000000,106.882154999999997
42,2024,Kota Adm. Jakarta Timur,Duren Sawit,Duren Sawit,Kampung Sumur,Jalan I Gusti Ngurah Rai,-6.214412000000000,106.911884999999998
43,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Karet Kuningan,Jalan Hajjah R. Rasuna Said,-6.216670000000000,106.830736999999999
44,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Polda Metro Jaya,Jalan Jenderal Sudirman,-6.221094000000000,106.810278999999994
45,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Cempaka Putih,Kayu Putih Rawasari,Jalan Ahmad Yani,-6.187453000000000,106.875416999999999
46,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Kebayoran Lama,Jalan Ciledug Raya,-6.238340000000000,106.777514999999994
47,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Bungur,Jalan Sultan Iskandar Muda,-6.252688000000000,106.781642000000005
48,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Kebon Jeruk,Jalan Panjang Raya,-6.194311000000000,106.768873999999997
49,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Matraman Baru,Jalan Matraman,-6.212880000000000,106.861152000000004
50,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Kedoya Panjang,Jalan Panjang Raya,-6.174495000000000,106.765854000000004
51,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Kedoya,Jalan Panjang Raya,-6.164435000000000,106.763013000000001
52,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Kelapa Dua Sasak,Jalan Panjang Raya,-6.205551000000000,106.769525999999999
53,2024,Kota Adm. Jakarta Utara,Pademangan,Pademangan,Landasan Pacu,Jalan Haji Bagindo Rajo Motik,-6.152181000000000,106.854237999999995
54,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Denpasar Arah Timur,Jalan Gatot Subroto,-6.232602000000000,106.821619999999996
55,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Kramat Sentiong,Jalan Kramat Raya,-6.187980000000000,106.845950999999999
56,2024,Kota Adm. Jakarta Selatan,Setiabudi,Mampang Prapatan,Simpang Kuningan,Jalan Gatot Subroto,-6.237250000000000,106.827939999999998
57,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Kuningan Madya,Jalan Hajjah R. Rasuna Said,-6.213414000000000,106.830472000000000
58,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Underpass Kuningan,Jalan Hajjah R. Rasuna Said,-6.234731000000000,106.829014999999998
59,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Kwitang,Jalan Prajurit Kko Usman & Harun,-6.181051000000000,106.838660000000004
60,2024,Kota Adm. Jakarta Utara,Penjaringan,Penjaringan,Pluit Selatan,Jalan Pluit Selatan Raya,-6.125258000000000,106.799713999999994
61,2024,Kota Adm. Jakarta Pusat,Menteng,Menteng,Flyover Kuningan,Jalan Purworejo,-6.202761000000000,106.827706000000006
62,2024,Kota Adm. Jakarta Selatan,Mampang Prapatan,Mampang Prapatan,Denpasar Arah Barat,Jalan Jenderal Gatot Subroto,-6.233551000000000,106.822084000000004
63,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Widya Chandra Telkomsel Arah Timur,Jalan Gatot Subroto,-6.226549000000000,106.817400000000006
64,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Layur,Jalan Pemuda,-6.193539000000000,106.899090000000001
65,2024,Kota Adm. Jakarta Selatan,Cilandak,Cilandak,Lebak Bulus,Jalan Raya Pasar Jumat,-6.289413000000000,106.774151000000003
66,2024,Kota Adm. Jakarta Selatan,Mampang Prapatan,Mampang Prapatan,Mampang Prapatan,Jalan Mampang Prapatan Raya,-6.242699000000000,106.825716999999997
67,2024,Kota Adm. Jakarta Pusat,Sawah Besar,Sawah Besar,Mangga Dua,Jalan Mangga Dua Raya,-6.136148000000000,106.825968000000003
68,2024,Kota Adm. Jakarta Selatan,Setiabudi,Menteng,Manggarai,Jalan Sultan Agung,-6.208880000000000,106.847391000000002
69,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Karet,Jalan Jenderal Sudirman,-6.212457000000000,106.820031000000000
70,2024,Kota Adm. Jakarta Timur,Matraman,Matraman,Matraman,Jalan Matraman,-6.199980000000000,106.854428999999996
71,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Flyover Pramuka,Flyover Pramuka Matraman,-6.198910000000000,106.854495999999997
72,2024,Kota Adm. Jakarta Selatan,Kebayoran Baru,Kebayoran Baru,Mayestik,Jalan Kyai Maja,-6.241921000000000,106.790767000000002
73,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Dukuh Atas,Jalan Jenderal Sudirman,-6.205702000000000,106.822225000000003
74,2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Museum Sejarah Jakarta,Jalan Kunir,-6.133930000000000,106.812088000000003
75,2024,Kota Adm. Jakarta Pusat,Menteng,Menteng,Tosari,Jalan Jenderal Sudirman,-6.196892000000000,106.823092000000003
76,2024,Kota Adm. Jakarta Utara,Pademangan,Pademangan,Pademangan,Jalan Gunung Sahari Raya,-6.133704000000000,106.831637000000001
77,2024,Kota Adm. Jakarta Utara,Penjaringan,Penjaringan,Pakin,Jalan Gedong Panjang,-6.127982000000000,106.804743000000002
78,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Pal Putih,Jalan Kramat Raya,-6.184631000000000,106.844024000000005
79,2024,Kota Adm. Jakarta Selatan,Mampang Prapatan,Kebayoran Baru,Widya Chandra Telkomsel Arah Barat,Jalan Jenderal Gatot Subroto,-6.227392000000000,106.817627999999999
80,2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Kali Grogol Arah Utara,Jalan Prof. Dr. Latumenten,-6.161060000000000,106.790396999999999
81,2024,Kota Adm. Jakarta Selatan,Tebet,Pancoran,Pancoran Tugu,Jalan MT Haryono,-6.243300000000000,106.843879999999999
82,2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Mangga Dua Raya,Jalan Mangga Dua Raya,-6.137611000000000,106.817918000000006
83,2024,Kota Adm. Jakarta Pusat,Sawah Besar,Sawah Besar,Pasar Baru,Jalan Pos,-6.166129000000000,106.834834000000001
84,2024,Kota Adm. Jakarta Pusat,Kemayoran,Sawah Besar,Pasar Baru Timur,Jalan Gunung Sahari Raya,-6.162272000000000,106.838114000000004
85,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Pasar Cempaka Putih,Jalan Letnan Jenderal Suprapto,-6.172325000000000,106.862454999999997
86,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Pasar Enjo,Jalan Haji Darip,-6.214881000000000,106.878193999999993
87,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Pasar Genjing,Jalan Pramuka,-6.194446000000000,106.860915000000006
88,2024,Kota Adm. Jakarta Timur,Kramat Jati,Rambutan,Pasar Induk,Jalan Raya Bogor,-6.294215000000000,106.872032000000004
89,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Bali Mester,Jalan Jatinegara Timur,-6.215744000000000,106.866318000000007
90,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Kebayoran,Jalan Teuku Nyak Arief,-6.238413000000000,106.783229000000006
91,2024,Kota Adm. Jakarta Timur,Kramat Jati,Kramat Jati,Kramat Jati,Jalan Raya Bogor,-6.268822000000000,106.866631999999996
92,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Pasar Pulo Gadung,Jalan Bekasi Raya,-6.187434000000000,106.905912999999998
93,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Pasar Rumput,Jalan Sultan Agung,-6.207125000000000,106.841117999999994
94,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Patra Kuningan,Jalan Hajjah R. Rasuna Said,-6.232677000000000,106.832087000000001
95,2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Pecenongan,Jalan Insinyur Haji Juanda,-6.167710000000000,106.828190000000006
96,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Pedati Prumpung,Jalan DI Panjaitan,-6.220160000000000,106.874386000000001
97,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Pedongkelan,Jalan Perintis Kemerdekaan,-6.167962000000000,106.882463999999999
98,2024,Kota Adm. Jakarta Selatan,Pasar Minggu,Pasar Minggu,Pejaten,Jalan Buncit Raya,-6.278404000000000,106.829723999999999
99,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Pemuda Pramuka,Jembatan Penyebrangan Orang Pemuda Pramuka,-6.192795000000000,106.874978999999996
100,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Pemuda Rawamangun,Jalan Pemuda,-6.193488000000000,106.891649999999998
101,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Halim,Jalan DI Panjaitan,-6.239070000000000,106.878000000000000
102,2024,Kota Adm. Jakarta Timur,Cakung,Penggilingan,Penggilingan,Penggilingan Raya,-6.214132000000000,106.939609000000004
103,2024,Kota Adm. Jakarta Utara,Penjaringan,Penjaringan,Penjaringan,Jalan Pluit Selatan Raya,-6.126306000000000,106.792026000000007
104,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Koja,Koja,Jalan Yos Sudarso,-6.114130000000000,106.893090000000001
105,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Permata Hijau,Jalan Letnan Jenderal Soepeno,-6.221427000000000,106.783246000000005
106,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Arteri,Jalan Arteri Pos Pengumben,-6.218401000000000,106.777613000000002
107,2024,Kota Adm. Jakarta Timur,Duren Sawit,Duren Sawit,Flyover Pondok Kopi,Jalan I Gusti Ngurah Rai,-6.216689000000000,106.930539999999993
108,2024,Kota Adm. Jakarta Barat,Kalideres,Kalideres,Pesakih,Jalan Daan Mogot,-6.154803000000000,106.715266000000000
109,2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Petojo,Jalan Suryopranoto,-6.169984000000000,106.816982999999993
110,2024,Kota Adm. Jakarta Timur,Kramat Jati,Cililitan,Cililitan,Jalan Mayor Jenderal Sutoyo,-6.262494000000000,106.866352000000006
111,2024,Kota Adm. Jakarta Timur,Kramat Jati,Cililitan,PGC,Transjakarta Busway Koridor 10,-6.261900000000000,106.865696000000000
112,2024,Kota Adm. Jakarta Timur,Makasar,Makasar,Pinang Ranti,Gang Gombrang II,-6.291075000000000,106.886337999999995
113,2024,Kota Adm. Jakarta Utara,Penjaringan,Penjaringan,Pluit,Jalan Pluit Permai,-6.115795000000000,106.790370999999993
114,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Koja,Plumpang,Jalan Yos Sudarso,-6.128480000000000,106.893699999999995
115,2024,Kota Adm. Jakarta Pusat,Menteng,Menteng,Bundaran HI Astra,Jalan Mohammad Husni Thamrin,-6.193021000000000,106.822997000000001
116,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Underpass Lebak Bulus,Jalan Metro Pondok Indah,-6.286761000000000,106.779985999999994
117,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Pondok Indah,Jalan Metro Pondok Indah,-6.267231000000000,106.783648999999997
118,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Pondok Pinang,Jalan Pondok Pinang Raya,-6.282170000000000,106.772042999999996
119,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Pos Pengumben,Jalan Panjang Raya,-6.212935000000000,106.772260000000003
120,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Simpang Pramuka,Jalan Pramuka,-6.192192000000000,106.874010999999996
121,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Pramuka Sari,Jalan Pramuka,-6.192238000000000,106.868576000000004
122,2024,Kota Adm. Jakarta Timur,Cakung,Rawatrate,PTC Pulo Gadung,Jalan Bekasi Raya,-6.182622000000000,106.915611999999996
123,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Pulo Gadung,Jalan Bekasi Raya,-6.183325000000000,106.908850000000001
124,2024,Kota Adm. Jakarta Timur,Cakung,Pulo Gebang,Pulo Gebang,Jalan Tol Lingkar Luar Jakarta,-6.212697000000000,106.952651000000003
125,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Kelapa Gading,Pulo Mas,Jalan Perintis Kemerdekaan,-6.174736000000000,106.892774000000003
126,2024,Kota Adm. Jakarta Barat,Cengkareng,Cengkareng,Sumur Bor,Jalan Daan Mogot,-6.153046000000000,106.719288000000006
127,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Kayu Jati,Jalan Pemuda,-6.193267000000000,106.883668000000000
128,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Sunter Boulevard Barat,Jalan Yos Sudarso,-6.149650000000000,106.888994999999994
129,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Sunter Karya,Jalan Danau Sunter Utara,-6.137625000000000,106.870812999999998
130,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Tanjung Priok,Sunter Kelapa Gading,Simpang Susun Tanjung Priok,-6.142900000000000,106.890760000000000
